================ Training Loss (Fri Jun 16 23:20:50 2023) ================
(epoch: 45, iters: 64, time: 0.038, data: 0.002) D_A: 0.295 G_A: 0.016 cycle_A: 0.018 idt_A: 0.000 D_B: 0.008 G_B: 0.461 cycle_B: 2.955 idt_B: 0.000 
(epoch: 46, iters: 320, time: 0.036, data: 0.004) D_A: 0.290 G_A: 0.015 cycle_A: 0.015 idt_A: 0.000 D_B: 0.009 G_B: 0.454 cycle_B: 3.033 idt_B: 0.000 
(epoch: 48, iters: 32, time: 0.037, data: 0.002) D_A: 0.286 G_A: 0.018 cycle_A: 0.014 idt_A: 0.000 D_B: 0.008 G_B: 0.439 cycle_B: 3.009 idt_B: 0.000 
(epoch: 49, iters: 288, time: 0.036, data: 0.004) D_A: 0.289 G_A: 0.017 cycle_A: 0.016 idt_A: 0.000 D_B: 0.008 G_B: 0.435 cycle_B: 2.875 idt_B: 0.000 
(epoch: 50, iters: 544, time: 0.040, data: 0.002) D_A: 0.284 G_A: 0.018 cycle_A: 0.020 idt_A: 0.000 D_B: 0.008 G_B: 0.430 cycle_B: 2.967 idt_B: 0.000 
(epoch: 52, iters: 256, time: 0.037, data: 0.210) D_A: 0.277 G_A: 0.016 cycle_A: 0.013 idt_A: 0.000 D_B: 0.008 G_B: 0.427 cycle_B: 2.928 idt_B: 0.000 
(epoch: 53, iters: 512, time: 0.036, data: 0.002) D_A: 0.280 G_A: 0.017 cycle_A: 0.012 idt_A: 0.000 D_B: 0.008 G_B: 0.416 cycle_B: 2.968 idt_B: 0.000 
(epoch: 55, iters: 224, time: 0.038, data: 0.002) D_A: 0.281 G_A: 0.018 cycle_A: 0.014 idt_A: 0.000 D_B: 0.008 G_B: 0.417 cycle_B: 2.838 idt_B: 0.000 
(epoch: 56, iters: 480, time: 0.036, data: 0.000) D_A: 0.278 G_A: 0.017 cycle_A: 0.018 idt_A: 0.000 D_B: 0.010 G_B: 0.402 cycle_B: 2.924 idt_B: 0.000 
(epoch: 58, iters: 192, time: 0.041, data: 0.002) D_A: 0.273 G_A: 0.015 cycle_A: 0.018 idt_A: 0.000 D_B: 0.008 G_B: 0.397 cycle_B: 2.788 idt_B: 0.000 
(epoch: 59, iters: 448, time: 0.040, data: 0.002) D_A: 0.274 G_A: 0.016 cycle_A: 0.022 idt_A: 0.000 D_B: 0.008 G_B: 0.386 cycle_B: 2.872 idt_B: 0.000 
(epoch: 61, iters: 160, time: 0.034, data: 0.002) D_A: 0.275 G_A: 0.016 cycle_A: 0.015 idt_A: 0.000 D_B: 0.008 G_B: 0.386 cycle_B: 2.848 idt_B: 0.000 
(epoch: 62, iters: 416, time: 0.036, data: 0.002) D_A: 0.270 G_A: 0.015 cycle_A: 0.015 idt_A: 0.000 D_B: 0.008 G_B: 0.389 cycle_B: 2.926 idt_B: 0.000 
(epoch: 64, iters: 128, time: 0.035, data: 0.002) D_A: 0.267 G_A: 0.016 cycle_A: 0.011 idt_A: 0.000 D_B: 0.008 G_B: 0.371 cycle_B: 2.753 idt_B: 0.000 
(epoch: 65, iters: 384, time: 0.039, data: 0.000) D_A: 0.266 G_A: 0.016 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.366 cycle_B: 2.771 idt_B: 0.000 
(epoch: 67, iters: 96, time: 0.033, data: 0.002) D_A: 0.266 G_A: 0.017 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.360 cycle_B: 2.757 idt_B: 0.000 
(epoch: 68, iters: 352, time: 0.038, data: 0.000) D_A: 0.266 G_A: 0.016 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.359 cycle_B: 2.798 idt_B: 0.000 
(epoch: 70, iters: 64, time: 0.038, data: 0.002) D_A: 0.272 G_A: 0.017 cycle_A: 0.010 idt_A: 0.000 D_B: 0.008 G_B: 0.350 cycle_B: 2.820 idt_B: 0.000 
(epoch: 71, iters: 320, time: 0.034, data: 0.000) D_A: 0.260 G_A: 0.016 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.349 cycle_B: 2.777 idt_B: 0.000 
(epoch: 73, iters: 32, time: 0.039, data: 0.002) D_A: 0.261 G_A: 0.014 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.344 cycle_B: 2.744 idt_B: 0.000 
(epoch: 74, iters: 288, time: 0.038, data: 0.003) D_A: 0.263 G_A: 0.016 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.337 cycle_B: 2.737 idt_B: 0.000 
(epoch: 75, iters: 544, time: 0.039, data: 0.002) D_A: 0.262 G_A: 0.016 cycle_A: 0.010 idt_A: 0.000 D_B: 0.008 G_B: 0.340 cycle_B: 2.700 idt_B: 0.000 
(epoch: 77, iters: 256, time: 0.040, data: 0.232) D_A: 0.274 G_A: 0.017 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.334 cycle_B: 2.750 idt_B: 0.000 
(epoch: 78, iters: 512, time: 0.038, data: 0.000) D_A: 0.256 G_A: 0.015 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.330 cycle_B: 2.747 idt_B: 0.000 
(epoch: 80, iters: 224, time: 0.044, data: 0.002) D_A: 0.259 G_A: 0.016 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.323 cycle_B: 2.717 idt_B: 0.000 
(epoch: 81, iters: 480, time: 0.033, data: 0.002) D_A: 0.256 G_A: 0.015 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.316 cycle_B: 2.737 idt_B: 0.000 
(epoch: 83, iters: 192, time: 0.039, data: 0.002) D_A: 0.257 G_A: 0.015 cycle_A: 0.010 idt_A: 0.000 D_B: 0.008 G_B: 0.314 cycle_B: 2.768 idt_B: 0.000 
(epoch: 84, iters: 448, time: 0.039, data: 0.000) D_A: 0.258 G_A: 0.016 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.309 cycle_B: 2.764 idt_B: 0.000 
(epoch: 86, iters: 160, time: 0.033, data: 0.002) D_A: 0.260 G_A: 0.016 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.312 cycle_B: 2.783 idt_B: 0.000 
(epoch: 87, iters: 416, time: 0.034, data: 0.005) D_A: 0.259 G_A: 0.016 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.314 cycle_B: 2.723 idt_B: 0.000 
(epoch: 89, iters: 128, time: 0.037, data: 0.002) D_A: 0.259 G_A: 0.016 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.314 cycle_B: 2.800 idt_B: 0.000 
(epoch: 90, iters: 384, time: 0.039, data: 0.000) D_A: 0.255 G_A: 0.015 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.299 cycle_B: 2.757 idt_B: 0.000 
(epoch: 92, iters: 96, time: 0.033, data: 0.002) D_A: 0.255 G_A: 0.016 cycle_A: 0.009 idt_A: 0.000 D_B: 0.008 G_B: 0.300 cycle_B: 2.727 idt_B: 0.000 
(epoch: 93, iters: 352, time: 0.039, data: 0.002) D_A: 0.258 G_A: 0.015 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.294 cycle_B: 2.682 idt_B: 0.000 
(epoch: 95, iters: 64, time: 0.038, data: 0.002) D_A: 0.252 G_A: 0.015 cycle_A: 0.007 idt_A: 0.000 D_B: 0.009 G_B: 0.303 cycle_B: 2.712 idt_B: 0.000 
(epoch: 96, iters: 320, time: 0.036, data: 0.006) D_A: 0.254 G_A: 0.015 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.294 cycle_B: 2.702 idt_B: 0.000 
(epoch: 98, iters: 32, time: 0.038, data: 0.002) D_A: 0.264 G_A: 0.016 cycle_A: 0.007 idt_A: 0.000 D_B: 0.008 G_B: 0.288 cycle_B: 2.694 idt_B: 0.000 
(epoch: 99, iters: 288, time: 0.037, data: 0.005) D_A: 0.257 G_A: 0.015 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.286 cycle_B: 2.720 idt_B: 0.000 
(epoch: 100, iters: 544, time: 0.043, data: 0.002) D_A: 0.250 G_A: 0.016 cycle_A: 0.008 idt_A: 0.000 D_B: 0.008 G_B: 0.314 cycle_B: 2.725 idt_B: 0.000 
(epoch: 102, iters: 256, time: 0.035, data: 0.201) D_A: 0.252 G_A: 0.015 cycle_A: 0.004 idt_A: 0.000 D_B: 0.008 G_B: 0.278 cycle_B: 2.685 idt_B: 0.000 
(epoch: 103, iters: 512, time: 0.038, data: 0.002) D_A: 0.250 G_A: 0.014 cycle_A: 0.005 idt_A: 0.000 D_B: 0.008 G_B: 0.286 cycle_B: 2.729 idt_B: 0.000 
(epoch: 105, iters: 224, time: 0.039, data: 0.002) D_A: 0.252 G_A: 0.016 cycle_A: 0.006 idt_A: 0.000 D_B: 0.008 G_B: 0.283 cycle_B: 2.713 idt_B: 0.000 
